human_comparison,n,mae_deg,median_absolute_difference_deg,rmse_deg,bias_deg,difference_sd_deg,loa_lower_deg,loa_upper_deg,within_3_deg_percent,within_5_deg_percent,pearson_r,spearman_rho,ccc
All humans,3684,2.043702497285559,1.0,3.0811940520035512,-0.4590119435396308,3.0472258431207595,-6.431574596056319,5.513550708977058,84.60912052117264,94.43539630836048,0.946934520502335,0.9398284364811086,0.945794507832739
Carl,946,2.0718816067653276,2.0,3.0858060100241325,-0.8372093023255814,2.971634904006047,-6.661613714177433,4.9871951095262705,84.6723044397463,94.82029598308668,0.9501098114716168,0.945027896852965,0.9463305261469748
Marlene,879,2.1023890784982937,1.0,3.2355392824437526,-0.459613196814562,3.204551907113338,-6.740534934756704,5.82130854112758,84.75540386803185,93.28782707622298,0.941962494006131,0.9335326419609176,0.9407233938071298
Peter,937,2.0021344717182497,2.0,2.973737770669876,0.2838847385272145,2.961737236283136,-5.521120244587731,6.088889721642161,85.37886872998934,95.30416221985058,0.9482930602166005,0.9406607273437773,0.9476522188208671
Wadim,922,2.0010845986984815,1.0,3.032542227970645,-0.8253796095444685,2.9196414704736084,-6.5478768916727415,4.8971176725838035,83.62255965292842,94.25162689804772,0.9523293860308936,0.94511239068024,0.9483040175060832
