endpoint_disagreement_group,matched_pairs,mean_absolute_angle_difference_deg,median_absolute_angle_difference_deg,within_5_deg_percent
0,1601,1.6758276077451593,1.0,97.43910056214867
1-2,1831,2.0944838885854726,2.0,93.93773894046969
3-4,217,3.737327188940092,2.0,81.5668202764977
5+,35,5.714285714285714,4.0,62.857142857142854
