model,grouped_cv_mae_deg,grouped_cv_r2,observations,unique_images
Training-mean baseline,1.4510985121866495,-0.0008279673474158589,3684,522
Linear regression,1.4461429281860048,0.09181146769559867,3684,522
Random forest,1.4586549826891353,0.12683547141549678,3684,522
