method,n,mae_deg,median_absolute_difference_deg,rmse_deg,bias_deg,difference_sd_deg,loa_lower_deg,loa_upper_deg,within_3_deg_percent,within_5_deg_percent,pearson_r,spearman_rho,ccc,mae_cluster_bootstrap_ci_lower_deg,mae_cluster_bootstrap_ci_upper_deg
Spline from human centroids,5554,2.4227583723442563,2.0,3.2769203069155353,-0.09254591285559957,3.2759081452726484,-6.51332587758999,6.328234051878791,76.48541591645662,91.80770615772417,0.9385628736503581,0.9228146659372218,0.9384767195694932,2.325536177223888,2.5125162828204424
Traditional manual Cobb,5189,3.388706879938331,3.0,4.371282799891965,0.9924841009828483,4.257532371770386,-7.352279347687109,9.337247549652805,60.31990749662748,80.74773559452689,0.8832792482767883,0.8577475899693734,0.8770399766352793,3.2745365856047703,3.5111262592464074
